iter	Passed	Remaining
0	2	598
1	3	557
2	5	544
3	9	695
4	13	784
5	15	737
6	16	700
7	18	668
8	19	640
9	21	619
10	23	605
11	24	590
12	26	583
13	28	578
14	29	567
15	31	558
16	33	552
17	34	545
18	36	540
19	38	532
20	39	531
21	41	524
22	43	518
23	44	515
24	46	510
25	47	505
26	49	501
27	51	496
28	52	491
29	54	490
30	56	491
31	58	488
32	60	487
33	61	483
34	63	478
35	64	474
36	66	472
37	68	468
38	69	465
39	70	460
40	72	456
41	73	452
42	75	450
43	76	446
44	78	443
45	80	443
46	81	440
47	83	437
48	85	436
49	86	434
50	88	433
51	90	431
52	91	427
53	93	426
54	95	424
55	96	422
56	98	419
57	100	417
58	101	414
59	103	413
60	105	412
61	106	410
62	108	408
63	110	406
64	111	403
65	113	400
66	114	398
67	116	396
68	117	394
69	119	392
70	121	390
71	123	389
72	124	388
73	126	387
74	128	384
75	129	382
76	131	380
77	132	377
78	134	376
79	136	375
80	138	373
81	139	371
82	141	369
83	143	368
84	145	367
85	146	365
86	148	363
87	149	361
88	151	358
89	153	357
90	155	356
91	156	354
92	158	353
93	159	350
94	161	348
95	162	345
96	164	343
97	165	341
98	167	339
99	168	337
100	170	335
101	172	334
102	174	333
103	176	331
104	177	329
105	179	327
106	180	325
107	181	323
108	183	322
109	185	320
110	187	318
111	188	316
112	190	315
113	192	313
114	194	312
115	195	310
116	197	308
117	198	306
118	200	304
119	201	302
120	203	301
121	205	299
122	206	297
123	208	295
124	209	293
125	211	291
126	212	289
127	214	287
128	215	285
129	216	283
130	218	281
131	220	280
132	222	279
133	225	279
134	226	277
135	228	275
136	230	273
137	231	272
138	233	270
139	235	269
140	238	268
141	240	267
142	241	265
143	243	263
144	245	262
145	247	261
146	249	259
147	250	257
148	252	256
149	254	254
150	256	253
151	258	251
152	259	249
153	261	247
154	262	245
155	264	244
156	266	242
157	268	241
158	269	239
159	271	237
160	273	235
161	275	234
162	276	232
163	278	230
164	280	229
165	281	227
166	283	225
167	284	223
168	286	222
169	288	220
170	289	218
171	291	216
172	292	214
173	294	213
174	296	211
175	297	209
176	299	207
177	300	206
178	302	204
179	303	202
180	305	200
181	307	199
182	309	198
183	312	196
184	313	194
185	315	193
186	317	191
187	319	190
188	320	188
189	322	186
190	324	184
191	325	183
192	327	181
193	329	179
194	330	178
195	332	176
196	334	174
197	336	173
198	338	171
199	339	169
200	341	168
201	343	166
202	344	164
203	345	162
204	348	161
205	349	159
206	351	157
207	352	156
208	354	154
209	355	152
210	357	150
211	359	149
212	360	147
213	362	145
214	365	144
215	367	143
216	369	141
217	370	139
218	372	137
219	373	135
220	375	134
221	377	132
222	378	130
223	380	129
224	381	127
225	383	125
226	385	123
227	387	122
228	389	120
229	390	118
230	392	117
231	395	115
232	398	114
233	401	113
234	406	112
235	412	111
236	428	113
237	441	114
238	448	114
239	454	113
240	457	111
241	459	110
242	461	108
243	463	106
244	466	104
245	470	103
246	473	101
247	475	99
248	476	97
249	478	95
250	480	93
251	482	91
252	484	89
253	486	88
254	488	86
255	490	84
256	492	82
257	493	80
258	496	78
259	499	76
260	501	74
261	503	73
262	505	71
263	507	69
264	509	67
265	511	65
266	513	63
267	515	61
268	517	59
269	519	57
270	523	56
271	525	54
272	526	52
273	528	50
274	530	48
275	532	46
276	534	44
277	535	42
278	537	40
279	539	38
280	541	36
281	543	34
282	545	32
283	547	30
284	550	28
285	553	27
286	554	25
287	555	23
288	558	21
289	561	19
290	576	17
291	581	15
292	590	14
293	608	12
294	616	10
295	627	8
296	635	6
297	641	4
298	645	2
299	647	0
